epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1406.35,0.71544,0.3346,0.77772,0.83275,0.69944,0.78003,0.57069,0.74934,0.3764,0.78652,0.000445625,0.000445625,0.000445625
67,1427.61,0.70056,0.32947,0.78014,0.87248,0.74011,0.82181,0.56832,0.74912,0.38101,0.78492,0.00043325,0.00043325,0.00043325
68,1449.13,0.69542,0.32539,0.77746,0.89081,0.72341,0.81938,0.57435,0.76221,0.3815,0.785,0.000420875,0.000420875,0.000420875
69,1473.44,0.68563,0.32619,0.77751,0.84477,0.70669,0.79897,0.55727,0.74882,0.38119,0.78456,0.0004085,0.0004085,0.0004085
70,1495.34,0.72707,0.33781,0.77945,0.84462,0.74783,0.81874,0.57085,0.79034,0.37661,0.7884,0.000396125,0.000396125,0.000396125
71,1516.78,0.70917,0.33019,0.77686,0.8452,0.71034,0.79522,0.56475,0.74776,0.37811,0.78579,0.00038375,0.00038375,0.00038375
72,1537.23,0.70507,0.33098,0.77603,0.89959,0.72221,0.80846,0.5728,0.75894,0.38048,0.78594,0.000371375,0.000371375,0.000371375
73,1558.82,0.68447,0.31886,0.77701,0.85214,0.73572,0.8107,0.58102,0.7453,0.38276,0.7856,0.000359,0.000359,0.000359
74,1582.25,0.69067,0.32586,0.77747,0.89163,0.7228,0.81586,0.56854,0.74447,0.37587,0.78403,0.000346625,0.000346625,0.000346625
75,1603.14,0.67474,0.31749,0.77699,0.86394,0.74084,0.824,0.58832,0.7449,0.37366,0.78419,0.00033425,0.00033425,0.00033425
76,1625.71,0.65735,0.31182,0.77605,0.88228,0.73943,0.82022,0.56897,0.76224,0.37234,0.786,0.000321875,0.000321875,0.000321875
77,1646.57,0.67534,0.31614,0.77703,0.8513,0.73154,0.81553,0.57311,0.75511,0.37831,0.78622,0.0003095,0.0003095,0.0003095
78,1668.29,0.68011,0.32119,0.77612,0.86567,0.72421,0.79503,0.55868,0.76449,0.38203,0.78539,0.000297125,0.000297125,0.000297125
